filename,x_from,y_from,width,height,sign_class,sign_id,sign_class_id
autosave01_02_2012_09_13_33.jpg,649,376,18,18,2_1,0,1
autosave01_02_2012_09_13_34.jpg,671,356,20,21,2_1,0,1
autosave01_02_2012_09_13_35.jpg,711,332,27,26,2_1,0,1
autosave01_02_2012_09_13_36.jpg,764,290,37,36,2_1,0,1
autosave01_02_2012_09_13_36.jpg,684,384,17,17,1_23,1,2
autosave01_02_2012_09_13_37.jpg,876,200,56,57,2_1,0,1
autosave01_02_2012_09_13_37.jpg,705,377,22,21,1_23,1,2
autosave01_02_2012_09_13_38.jpg,749,353,26,25,1_23,1,2
autosave01_02_2012_09_13_39.jpg,840,299,42,46,1_23,1,2
autosave01_02_2012_09_13_42.jpg,698,331,18,18,1_17,2,3
autosave01_02_2012_09_13_42.jpg,700,352,18,17,1_23,3,2
autosave01_02_2012_09_13_43.jpg,746,291,25,26,1_17,2,3
autosave01_02_2012_09_13_43.jpg,749,320,26,24,1_23,3,2
autosave01_02_2012_09_13_43.jpg,751,360,21,23,3_24_n40,4,4
autosave01_02_2012_09_13_44.jpg,838,224,36,37,1_17,2,3
autosave01_02_2012_09_13_44.jpg,844,267,38,35,1_23,3,2
autosave01_02_2012_09_13_44.jpg,843,306,41,19,8_2_1,5,5
autosave01_02_2012_09_13_44.jpg,848,328,34,33,3_24_n40,4,4
autosave01_02_2012_09_13_45.jpg,1076,32,75,70,1_17,2,3
autosave01_02_2012_09_13_45.jpg,1085,113,78,67,1_23,3,2
autosave01_02_2012_09_13_45.jpg,1085,186,80,31,8_2_1,5,5
autosave01_02_2012_09_13_47.jpg,702,339,19,19,5_20,6,6
autosave01_02_2012_09_13_48.jpg,731,320,24,23,5_20,6,6
autosave01_02_2012_09_13_48.jpg,735,345,20,21,3_24_n20,7,7
autosave01_02_2012_09_13_49.jpg,780,279,35,33,5_20,6,6
autosave01_02_2012_09_13_49.jpg,787,313,27,26,3_24_n20,7,7
autosave01_02_2012_09_13_49.jpg,786,341,36,18,8_2_1,8,5
autosave01_02_2012_09_13_50.jpg,870,199,53,48,5_20,6,6
autosave01_02_2012_09_13_50.jpg,878,249,47,45,3_24_n20,7,7
autosave01_02_2012_09_13_50.jpg,880,295,56,26,8_2_1,8,5
autosave01_02_2012_09_13_51.jpg,1102,0,96,73,5_20,6,6
autosave01_02_2012_09_13_51.jpg,1124,169,111,48,8_2_1,8,5
autosave01_02_2012_09_13_54.jpg,668,379,17,16,5_19_1,9,8
autosave01_02_2012_09_13_54.jpg,143,372,26,35,5_16,10,9
autosave01_02_2012_09_13_54.jpg,374,405,17,17,5_19_1,11,8
autosave01_02_2012_09_13_55.jpg,688,375,19,19,5_19_1,9,8
autosave01_02_2012_09_13_55.jpg,6,355,33,45,5_16,10,9
autosave01_02_2012_09_13_55.jpg,357,405,17,17,5_19_1,11,8
autosave01_02_2012_09_13_57.jpg,739,347,27,28,5_19_1,9,8
autosave01_02_2012_09_13_57.jpg,248,392,26,26,5_19_1,11,8
autosave01_02_2012_09_13_58.jpg,799,310,38,37,5_19_1,9,8
autosave01_02_2012_09_13_58.jpg,143,374,34,32,5_19_1,11,8
autosave01_02_2012_09_13_59.jpg,989,199,65,62,5_19_1,9,8
autosave01_02_2012_09_13_59.jpg,683,338,16,24,5_16,12,9
autosave01_02_2012_09_14_00.jpg,716,310,21,35,5_16,12,9
autosave01_02_2012_09_14_01.jpg,867,178,55,74,5_16,12,9
autosave01_02_2012_09_14_01.jpg,697,368,20,19,5_20,13,6
autosave01_02_2012_09_14_02.jpg,950,104,69,98,5_16,12,9
autosave01_02_2012_09_14_02.jpg,703,366,21,20,5_20,13,6
autosave01_02_2012_09_14_03.jpg,729,352,25,24,5_20,13,6
autosave01_02_2012_09_14_04.jpg,753,343,29,28,5_20,13,6
autosave01_02_2012_09_14_05.jpg,788,320,36,35,5_20,13,6
autosave01_02_2012_09_14_06.jpg,857,282,47,44,5_20,13,6
autosave01_02_2012_09_14_07.jpg,1000,212,78,65,5_20,13,6
autosave01_02_2012_09_14_12.jpg,709,372,21,21,3_25_n20,14,10
autosave01_02_2012_09_14_13.jpg,744,345,27,28,3_25_n20,14,10
autosave01_02_2012_09_15_16.jpg,720,361,27,25,5_19_1,15,8
autosave01_02_2012_09_15_17.jpg,729,348,27,25,5_19_1,15,8
